MN_EARN_WNE_P10,PCIP27,PCIP11,PCIP14
34300,0.94,6.34,14.32
46400,1.24,1.33,5.77
50500,1.98,3.15,30.27
49900,0.83,0.67,7.88
54100,0.91,0.66,17.41
57400,1.03,1.16,0.39
45200,0.57,3.74,6.65
42200,0.24,0.81,8.14
52600,1.15,3.49,8.61
38000,0.64,2.58,2.23
50400,0.52,1.21,9.89
36000,0.7,1.72,1.91
44800,0.76,5.72,2.27
38400,0.91,0.91,0.18
45100,0.86,0.16,4.52
85800,11.84,21.05,35.09
57900,0.69,3.98,1.37
69400,1.76,1.74,21.9
46800,2.38,1.52,0.7
55400,1.76,2.69,17.96
52400,0.67,3.36,4.75
46500,0.77,0.49,3.79
49000,0.63,1,2.78
51100,0.96,1.08,6.71
46900,0.88,2.63,4.86
47500,0.54,2.02,4.18
51000,0.67,1.28,4.85
74700,4.86,3.74,12.24
65200,1.47,2.16,9.97
61800,1.65,4.43,9.67
70700,5.69,1.77,7.17
52200,2.49,1.74,8.15
67900,3,5.43,15.68
59000,3.41,2.57,4.58
50400,1.39,7.01,3.41
97800,1.88,1.88,0.63
84900,4.89,29.89,29.89
39000,1,0.87,3.48
65700,0.64,0.97,3.02
59200,0.53,0.27,0.27
81400,0.91,2.83,10.65
53500,0.55,1.09,1.82
53400,0.89,1.1,6.69
70200,0.63,0.7,4.71
52600,0.6,0.94,2.78
59900,0.53,2.27,9.98
81900,1.33,0.7,12.92
59300,1.23,2.05,1.23
49300,1.36,1.52,0.47
85500,1.28,2.17,9.23
54600,0.31,3.07,1.23
68200,1.48,0.76,5.27
46400,1.18,2.96,6.45
56900,1.65,1.82,11.74
90500,4.91,5.34,87.24
51800,1.21,2.35,7.12
63400,1.56,2.33,2.96
39000,0.62,0.31,1.69
39000,1.31,3.56,3.68
45500,0.17,0.34,0.85
49000,1.65,2.61,2.71
62000,1.63,1.01,8.8
49600,0.59,1.1,9.07
52300,0.79,0.65,6.72
118400,2.86,3.17,6.25
36600,0.75,1.13,1.31
61300,1.08,1.31,9.84
80500,0.76,1.37,3.37
48900,0.4,2.35,7.11
43600,0.38,2.73,1.78
46200,0.62,1.53,3.51
62600,2.47,4.94,46.62
49900,0.28,3,5.31
51400,0.97,3.42,3.92
62600,1.38,0.9,12.91
70200,0.93,1.11,9.94
47200,0.63,2.48,3.06
46500,0.79,1.95,5.7
41200,0.93,5.15,3.28
37400,0.95,3.72,0.17
82600,1.16,8.8,60.63
44800,0.81,4.28,5.84
56400,1.05,1.21,1.1
57300,0.74,3.17,6.77
48000,7.26,2.79,1.68
49300,0.79,1.82,6.9
41600,0.62,2.32,4.95
46900,1.94,2.36,8.39
38000,0.26,5.05,0.26
43000,0.62,0.93,2.49
46700,0.25,2.77,3.02
56800,0.27,2.06,15.77
43500,0.91,1.23,0.11
61900,1.03,3.53,11.58
66500,2.33,3.43,20.41
79300,1.53,13.46,47.02
47600,1.56,2.22,4.15
89800,2.59,2.01,14.89
42600,0.22,0.56,2.57
47800,0.54,2.68,4.94
47000,0.79,1.82,7.83
46000,0.45,1.85,0.45
54300,2.21,1.19,1.02
42500,0.53,1.39,0.03
46000,1.58,1.05,10.02
38600,1,3.25,2.54
48600,0.64,4.51,4.6
38800,1.27,2.78,2.96
42100,1.2,1.61,0.4
89800,2.54,2.87,13.63
42500,0.52,2.08,4.94
84200,2.69,8.07,84.98
41300,1.55,4.65,0.88
46400,0.74,3.7,31.85
54000,0.84,0.56,10.69
53700,1.32,0.65,20.31
59800,2.54,1.59,9.16
49200,2.88,1.28,3.53
45300,1.36,1.69,1.02
47700,2.3,1.78,0.17
48300,0.32,3.07,2.43
48000,1.92,5.75,0.27
48100,3.71,0.57,3.43
42600,2.01,2.29,1.72
54600,1.2,0.97,9.26
51000,1.27,1.55,10.54
34400,1.13,1.35,0.15
40400,0.78,3.27,1.18
37100,1.01,2.15,1.66
56900,1.16,1.1,13.01
48600,1.24,1.47,12.87
44000,1.44,1.27,5.67
42700,0.72,1.76,8.65
45000,0.59,2.44,8.58
74200,1.7,3.46,3.57
46700,0.77,0.97,12.61
42600,1.18,0.79,2.68
45900,0.58,5.15,2.14
85800,3.38,2.16,19.37
59500,3.1,16.05,7.06
68300,1.84,5.13,12.26
40400,1.04,2.95,2.43
40900,0.11,3.01,11.6
72000,0.94,2.57,6.57
47500,0.34,0.34,1.38
136700,8.82,5.43,4.01
55300,1.02,14.54,14.03
55200,1.53,2.04,6.65
51200,0.61,4.61,0.04
142100,6.82,23.84,44.49
69500,1.3,2.95,14.33
49000,0.81,2.71,12.75
59100,0.3,2.13,0.99
83100,1.81,5.99,10.83
59800,0.72,3.19,17.25
43700,1.18,1.42,2.12
47000,0.25,1.87,9.86
44500,0.53,1.8,1.09
52600,0.34,0.11,2.36
41600,0.54,1.23,0.15
47000,0.47,2.36,1.02
76000,0.35,8.13,83.75
44600,2.59,2.23,1.4
47500,0.54,0.82,6.11
40300,0.7,1.81,1.53
59800,0.58,8.43,26.45
74400,2.81,5.75,17.06
60000,0.92,1.21,6.19
66000,1.88,6.83,56.53
52800,1.63,4.57,12.15
42500,0.25,1.72,1.47
46700,0.58,2.41,5.32
41000,1.32,3.06,4.24
51000,0.79,1.63,5.12
48900,0.37,2.63,5.73
50100,0.79,1.47,0.68
46300,0.37,1.99,3.05
58200,3.36,3.59,10.19
53500,2.46,3.79,11.47
46700,0.75,1.45,2.95
62000,1.11,2.09,6.96
46100,0.7,2.55,1.79
52700,0.44,0.82,4.86
44100,1.29,0.97,0.64
47500,0.65,0.97,13.73
54200,0.98,2.42,7.76
55100,0.82,2.2,4.62
68400,1.36,9.16,66.31
46300,1.4,1.45,3.86
61800,0.44,2.27,6.09
40500,0.35,1.36,0.41
82800,3.27,3.21,18.58
47500,1.79,2.87,2.51
45800,0.89,1.31,16.43
49600,0.75,1.02,10.45
47600,0.47,1.04,3.81
53400,0.98,1.6,9.63
